Judul|Pengarang|Favorit
Love and Wifi in the Palace|Joa / Ginyu|22043
Taming the Marquess|KRFFR / gol_G|1800000
Her Highness, the Wildflower|Moonto / Manju|661223
No Longer the Nice Sister|naeil / Serim,  JUGI|612623
Monster Duke's Daughter|Han ocean / Chal Lan|2800000
Men of the Harem|Alphatart / HereLee|4200000
Miss Overprotected|Gat-kkung / Vin Lee|151035
Becoming You|FURIK / LUNA|1400000
Another Typical Romance Fantasy|WOLHET|867484
Resigning as the Villainess|SEMI / SAN|757255
He Loved My Sister|dezy / Kkot Ni Rang|207853
Empress Cesia Wears Shorts|Saedle / Jkyum|2300000
Baby Princess the Matchmaker|Karin Park / Jimmy Sin|1900000
Two Faced Princess|Ryu Juyeon / TORI|810746
Dear Nemesis|Velma / ohsso|498443
Wanthong yang Tegas|Mu|369333
The Duke's Teddy Bear|Choi Sungha / GOMDOL|650648
Love Quest for a Servant Girl|DANA LEE / JUNGDAM|1500000
Dragon King's Chef|BK_Moon / Karakul|200000
Catching Up to Luke Bischel|HAKttobuk / angkkoppang|390161
What Melvin Left Behind|Team Happy gery / SC13|298878
That Which Flows By|softcorn / Eunbi Lee|163530
No Loyalty for a Villainess|Eeyeol Chun / STUDIO107|1200000
I Got Pregnant with the Tyrant's Child|Ryuran / SF_JD|808866
Sacrificed|DH / Jeong Ochan|734096
How to Place My Dog on the Throne|Marucomics / salted man|386737
Agatha|Lee da in|669754
My Sole Muse|Matchseia|86221
All Hail Lady Blanche!|SJK (SOYMEDIA) / Eun Na-mok|297402
To You Who Don't Love Me|Yeonseo / Bbada|181708
Yuri's Palace|Dawoo / Hill|215033
The Villainess Behind the Mask|SAN / Seogac|138552
The Torch of Ingram|Team LYCHEE / goyohan|54495
The Peach of June|38 / YOO PAULHEE|121938
The Predator’s Fiancée|Jackpot / Lisabel|505145
The Empress’ Lipstick|Coffeebean / JJG|566084
Witch's Wedding Diary|New lung / Dimang|400000
Suddenly, I Became a Princess|Plutus / Spoon|18100000
The Emperor Reverses Time|HWAYOUNG / YONGKKE|1400000
The Double Agent|Hayeon / Charles|519474
Can the Grand Duke and the Marquis be Friends?|Haku Karon / Teava|120858
Why Ophelia Can’t Leave the Duchy|Joo ahri / samo|1100000
One Night with Emperor|Bloomyy / INUS|3800000
The First Night with the Duke|MSG / Hwang DoTol|6300000
I'm Just His Friend!|RYU HEON / KAKON|2500000
I Picked Up a Second Lead After the Ending|Hwang DoTol / jungseoa|3200000
Prince Maker|suosu|1100000
I Raised A Beast|Teava / Yeoseulki|5200000
The Forbidden Marriage|Chun Ji hye / Sanchaek|3100000
The Blood of Madam Giselle|Lee Yunji|1600000
Aku...ratu?!|Peralta / GUA|3400000
For Stella|Nanaso / Hwagi|198231
Now I Will Take The Emperor's Heart|kiki / Marucomics|2500000
People Don't Change!|yeomra / gu_ilha|1900000
Wendy the Florist|Bize / sizh|8100000
The Secret of the Friendly Duke|Seojyu|381769
Handsome and the Beast|LB / Yoo Eun|1800000
The King and the Paladin|Irinbi / Park Ji-Eun|205684
Please Answer Me, Prince|Teava / Jjunya|668994
Infinite Sky|rchella|7300000
Oh! Princess|Kat|1500000
Dedes|egestigi|2600000
How to Tame the Royal Guard Dog|Jyun / SHINJI|383245
Regina Rena: To the Unforgiven|NANA / Seol Dong-Won|100000
Sierra|Rana / Moona|752731
A Killer Princess|Kim Yerin / Jang Yura|534543
The Vampire Lord's Greatest Wife|Kumokaya / Artelysium Studio|1500000
